[2025-02-28 14:16:43] IP: 127.0.0.1 | Cierre de sesión - Usuario: Luis Angel | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:46] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:46] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:46] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:46] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:46] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:53] IP: 127.0.0.1 | Administrador con ID 1 ha iniciado sesión exitosamente | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:53] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:53] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:53] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:53] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:17:53] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:18:10] IP: 127.0.0.1 | Cierre de sesión - Usuario: Luis Angel | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:18:54] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:18:54] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:18:54] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:18:54] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:18:54] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:19:07] IP: 127.0.0.1 | Intento de ingreso a evento con código: AA0aaaa | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:19:18] IP: 127.0.0.1 | Acceso al formulario de registro de jugador | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:20:31] IP: 127.0.0.1 | Acceso al formulario de registro de jugador | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:21:07] IP: 127.0.0.1 | Acceso al formulario de registro de jugador | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:21:40] IP: 127.0.0.1 | Acceso al formulario de registro de jugador | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:32] IP: 127.0.0.1 | Administrador con ID 1 ha iniciado sesión exitosamente | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:32] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:32] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:32] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:32] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:32] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:34] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:34] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:34] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:34] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:34] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:40] IP: 127.0.0.1 | Cierre de sesión - Usuario: Luis Angel | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:48] IP: 127.0.0.1 | Administrador con ID 1 ha iniciado sesión exitosamente | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:48] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:48] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:48] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:48] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:29:48] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:25] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:25] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:25] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:25] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:25] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:56] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:56] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:56] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:56] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:30:56] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:31:26] IP: 127.0.0.1 | Eventos retrocedidos a Pendiente: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:31:26] IP: 127.0.0.1 | Eventos retrocedidos desde Finalizado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:31:26] IP: 127.0.0.1 | Eventos finalizados actualizados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:31:26] IP: 127.0.0.1 | Jugadores actualizados a terminado: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
[2025-02-28 14:31:26] IP: 127.0.0.1 | Eventos iniciados: 0 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136.0
